,Company,Start Date,End Date,valuation
66,LMT,2013-02-28,2100-12-31,6015367270.47
104,HII,2013-03-29,2016-11-29,2676691465.0
48,LMT,2013-02-19,2023-09-30,2512230000.57
89,LMT,2013-03-15,2025-01-31,2169698584.67
68,"J, AME",2013-03-01,2024-11-05,2099373524.58
78,LMT,2013-03-04,2024-12-31,1785273293.14
95,RTX,2013-03-26,2020-09-30,1010959343.42
82,GD,2013-03-08,2017-08-31,606342543.49
24,RTX,2013-01-31,2022-11-30,586762639.0
71,TDY,2013-03-01,2022-12-31,371501689.28
59,LHX,2013-02-27,2015-11-30,326014809.58
75,GD,2013-03-01,2015-01-30,303964514.0
19,HII,2013-01-25,2019-09-30,301794890.23
25,"RTX, RAY-A, RAY-B",2013-01-31,2014-06-30,237926916.0
20,NOC,2013-01-30,2017-07-31,197677288.73
74,MCK,2013-03-01,2013-03-31,192948121.29
69,NOC,2013-03-01,2018-02-28,189099667.99
12,MCK,2013-01-01,2013-01-31,164165493.76
28,GE,2013-02-01,2023-12-31,157467313.26
5,RTX,2013-01-01,2017-08-31,152872403.42
16,BA,2013-01-10,2017-02-28,150421893.7
27,MCK,2013-02-01,2013-02-28,148234356.18
38,GD,2013-02-05,2019-03-25,142508512.8
17,LHX,2013-01-11,2015-08-28,141660753.53
2,GE,2013-01-01,2013-12-31,138038498.13
35,RTX,2013-02-04,2018-06-30,134889083.0
41,LMT,2013-02-08,2018-10-01,131345297.0
67,TXT,2013-02-28,2016-09-28,113061477.87
13,LDOS,2013-01-02,2014-03-01,109145762.71
0,NAVI,2013-01-01,2013-12-31,108025412.48
52,LMT,2013-02-22,2020-03-30,107460645.03
51,SNY,2013-02-22,2014-02-21,101998097.9
94,LDOS,2013-03-22,2014-09-29,88450432.24
65,RTX,2013-02-28,2017-09-03,86912925.32
53,AZN,2013-02-22,2014-02-21,84627621.0
26,RYCEY,2013-02-01,2014-01-31,83052643.04
84,BA.,2013-03-08,2016-01-31,82543088.1
44,BA,2013-02-12,2015-10-30,80643677.34
4,BA,2013-01-01,2013-12-31,80323532.0
45,SAIC,2013-02-12,2020-02-20,78337297.19
23,LMT,2013-01-31,2021-04-30,74511900.79
80,LHX,2013-03-05,2024-05-25,68656650.79
56,NOC,2013-02-25,2020-11-30,66466771.98
14,NSIT,2013-01-05,2015-10-31,66009598.19
101,RTX,2013-03-29,2015-08-31,55017438.0
58,RTX,2013-02-27,2019-03-29,53657706.97
54,GSK,2013-02-22,2014-02-21,51007285.5
46,GD,2013-02-13,2017-06-30,49467752.78
40,LHX,2013-02-08,2013-02-28,49070173.0
91,BA,2013-03-18,2017-03-15,48998814.09
88,NOC,2013-03-14,2013-12-31,48369253.83
100,NOC,2013-03-29,2014-03-31,48225839.28
73,LMT,2013-03-01,2018-06-30,47886624.0
9,NOC,2013-01-01,2015-03-31,46714423.0
34,LMT,2013-02-01,2023-10-20,46463422.31
32,GD,2013-02-01,2016-02-19,43740532.41
102,SAIC,2013-03-29,2017-10-31,40346199.94
86,LMT,2013-03-12,2015-07-27,39827194.22
85,GD,2013-03-11,2019-01-31,39751542.15
63,GD,2013-02-28,2014-04-01,38536610.67
33,"J, JEC",2013-02-01,2013-07-31,37029538.2
90,BAESY,2013-03-15,2019-03-31,36539401.0
93,LHX,2013-03-20,2016-03-31,36235414.0
98,GD,2013-03-27,2015-08-31,36203862.65
103,BAESY,2013-03-29,2017-03-31,35928916.06
83,LDOS,2013-03-08,2019-06-30,35644311.0
61,CACI,2013-02-27,2017-02-21,35628103.97
22,LDOS,2013-01-31,2015-02-13,35333150.31
43,LHX,2013-02-11,2015-10-30,34373026.92
31,SAIC,2013-02-01,2016-07-31,33918671.95
99,LDOS,2013-03-28,2018-03-31,32864913.51
50,LMT,2013-02-20,2019-01-31,32059137.47
37,SAIC,2013-02-05,2017-08-31,31985207.56
106,BAH,2013-03-29,2015-07-08,31979276.79
42,BA,2013-02-10,2014-11-06,31659052.0
18,CACI,2013-01-16,2017-08-14,30301053.27
92,BAESY,2013-03-18,2019-09-30,30199952.42
49,NOC,2013-02-20,2018-05-30,29697769.09
87,NOC,2013-03-13,2018-01-31,29612904.57
96,BA,2013-03-26,2014-07-31,29200000.0
64,LHX,2013-02-28,2013-07-31,29163244.2
47,OSK,2013-02-14,2015-03-31,29053320.0
81,RR.L,2013-03-07,2014-10-31,28536000.0
7,CACI,2013-01-01,2013-12-31,28519093.16
77,AMRK,2013-03-04,2013-03-15,28244457.97
36,GD,2013-02-04,2014-05-23,27973586.47
60,BAESY,2013-02-27,2014-06-30,27825954.7
97,RTX,2013-03-27,2014-08-31,27523813.0
29,BA.,2013-02-01,2020-01-31,26495113.24
105,LHX,2013-03-29,2013-08-26,26259310.0
62,GD,2013-02-27,2014-10-31,26132699.67
30,TDY,2013-02-01,2015-09-30,25642318.85
55,GD,2013-02-22,2015-05-25,25511386.24
11,TASE:ESLT,2013-01-01,2017-12-31,25399966.0
15,GD,2013-01-06,2016-02-19,25000000.0
